Time resolution is 1 ps
                   0 | baud_tick = 0| reset = 1| baud_clk = 0 
                   5 | baud_tick = 1| reset = 1| baud_clk = 0 
                  10 | baud_tick = 0| reset = 0| baud_clk = 0 
                  15 | baud_tick = 1| reset = 0| baud_clk = 0 
                  20 | baud_tick = 0| reset = 0| baud_clk = 0 
                  25 | baud_tick = 1| reset = 0| baud_clk = 0 
                  30 | baud_tick = 0| reset = 0| baud_clk = 0 
                  35 | baud_tick = 1| reset = 0| baud_clk = 0 
                  40 | baud_tick = 0| reset = 0| baud_clk = 0 
                  45 | baud_tick = 1| reset = 0| baud_clk = 0 
                  50 | baud_tick = 0| reset = 0| baud_clk = 0 
                  55 | baud_tick = 1| reset = 0| baud_clk = 0 
                  60 | baud_tick = 0| reset = 0| baud_clk = 0 
                  65 | baud_tick = 1| reset = 0| baud_clk = 0 
                  70 | baud_tick = 0| reset = 0| baud_clk = 0 
                  75 | baud_tick = 1| reset = 0| baud_clk = 0 
                  80 | baud_tick = 0| reset = 0| baud_clk = 0 
                  85 | baud_tick = 1| reset = 0| baud_clk = 0 
                  90 | baud_tick = 0| reset = 0| baud_clk = 0 
                  95 | baud_tick = 1| reset = 0| baud_clk = 0 
                 100 | baud_tick = 0| reset = 0| baud_clk = 0 
                 105 | baud_tick = 1| reset = 0| baud_clk = 0 
                 110 | baud_tick = 0| reset = 0| baud_clk = 0 
                 115 | baud_tick = 1| reset = 0| baud_clk = 0 
                 120 | baud_tick = 0| reset = 0| baud_clk = 0 
                 125 | baud_tick = 1| reset = 0| baud_clk = 0 
                 130 | baud_tick = 0| reset = 0| baud_clk = 0 
                 135 | baud_tick = 1| reset = 0| baud_clk = 0 
                 140 | baud_tick = 0| reset = 0| baud_clk = 0 
                 145 | baud_tick = 1| reset = 0| baud_clk = 0 
                 150 | baud_tick = 0| reset = 0| baud_clk = 0 
                 155 | baud_tick = 1| reset = 0| baud_clk = 0 
                 160 | baud_tick = 0| reset = 0| baud_clk = 0 
                 165 | baud_tick = 1| reset = 0| baud_clk = 1 
                 170 | baud_tick = 0| reset = 0| baud_clk = 1 
                 175 | baud_tick = 1| reset = 0| baud_clk = 0 
                 180 | baud_tick = 0| reset = 0| baud_clk = 0 
                 185 | baud_tick = 1| reset = 0| baud_clk = 0 
                 190 | baud_tick = 0| reset = 0| baud_clk = 0 
                 195 | baud_tick = 1| reset = 0| baud_clk = 0 
                 200 | baud_tick = 0| reset = 0| baud_clk = 0 
                 205 | baud_tick = 1| reset = 0| baud_clk = 0 
                 210 | baud_tick = 0| reset = 0| baud_clk = 0 
                 215 | baud_tick = 1| reset = 0| baud_clk = 0 
                 220 | baud_tick = 0| reset = 0| baud_clk = 0 
                 225 | baud_tick = 1| reset = 0| baud_clk = 0 
                 230 | baud_tick = 0| reset = 0| baud_clk = 0 
                 235 | baud_tick = 1| reset = 0| baud_clk = 0 
                 240 | baud_tick = 0| reset = 0| baud_clk = 0 
                 245 | baud_tick = 1| reset = 0| baud_clk = 0 
                 250 | baud_tick = 0| reset = 0| baud_clk = 0 
                 255 | baud_tick = 1| reset = 0| baud_clk = 0 
                 260 | baud_tick = 0| reset = 0| baud_clk = 0 
